Round,Counsel. Rank,Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Penalty,Bond Years,Beds (Inst.)
2,24003,Tel Govt-NS UNR,BCB-GEN,Telangana,CAIMS Karimnagar,ORTHOPAEDICS,775000,Info not available,2000000,1,1000
2,24024,Tel Govt-NS UNR,BCE-GEN,Telangana,MNR Med Coll Sangareddy,GENERAL SURGERY,700000,Info not available,2000000,1,760
2,24113,Tel Govt-NS LOC,OPEN-GEN,Telangana,Malla Reddy IMS Hyderabad,ANAESTHESIOLOGY,700000,Info not available,2000000,1,940
2,24159,Tel Govt-NS LOC,MIN-GEN-MSM,Telangana,DCMS Hyderabad,OBG,775000,Info not available,2000000,1,1400
2,24219,Tel Govt-NS LOC,OPEN-FEM,Telangana,ESIC Med CollSanath Nagar,PATHOLOGY, 250000,107800,1000000,2,690
2,24228,Tel Govt-NS LOC,BCB-FEM,Telangana,CAIMS Karimnagar,GENERAL SURGERY,775000,Info not available,2000000,1,1000
2,24351,Tel Govt-NS LOC,OPEN-GEN,Telangana,Kamineni (KAMSRC) Hyderabad,ANAESTHESIOLOGY,700000,Info not available,2000000,1,650
2,24397,Tel Govt-NS UNR,BCD-GEN,Telangana,Malla Reddy(Women) Hyderabad,EMERGENCY MEDICINE,700000,Info not available,2000000,1,1050
2,24541,Tel Govt-NS LOC,SC-GEN,Telangana,Govt Med Coll Nizamabad,OBG,10000, 50686,2000000,1,500
2,24545,Tel Govt-NS UNR,BCA-GEN,Telangana,Malla Reddy IMS Hyderabad,GENERAL SURGERY,700000,Info not available,2000000,1,940
2,24549,Tel Govt-NS LOC,OPEN-GEN,Telangana,Malla Reddy IMS Hyderabad,ANAESTHESIOLOGY,700000,Info not available,2000000,1,940
2,24610,Tel Govt-NS LOC,ST-FEM,Telangana,Osmania Med Coll Hyderabad,PAEDIATRICS,10000, 50686,2000000,1,4800
2,24706,Tel Govt-NS LOC,OPEN-FEM,Telangana,Kamineni IMS Narketpally,GENERAL SURGERY,750000,Info not available,2000000,1,1060
2,24995,Tel Govt-NS LOC,OPEN-GEN,Telangana,Malla Reddy IMS Hyderabad,ORTHOPAEDICS,700000,Info not available,2000000,1,940
2,25103,Tel Govt-NS LOC,MIN-FEM-MSM,Telangana,DrVRK Womens MedCollAziznagar,PAEDIATRICS,700000,Info not available,2000000,1,500
2,25308,Tel Govt-NS UNR,OPEN-GEN,Telangana,Mediciti IMS Ghanpur,OPHTHALMOLOGY,700000,Info not available,2000000,1,720
2,25363,Tel Govt-NS LOC,OPEN-FEM,Telangana,ESIC Med CollSanath Nagar,ORTHOPAEDICS, 250000,107800,1000000,2,690
2,25426,Tel Govt-NS LOC,OPEN-GEN,Telangana,Mamata Med Coll Khammam,OPHTHALMOLOGY,750000,Info not available,2000000,1,1080
2,25475,Tel Govt-NS LOC,OPEN-GEN,Telangana,Bhaskar Med Coll Yenkapally,ORTHOPAEDICS,750000,Info not available,2000000,1,850
2,25493,Tel Govt-NS LOC,BCA-GEN,Telangana,Malla Reddy(Women) Hyderabad,OBG,700000,Info not available,2000000,1,1050
2,25513,Tel Govt-NS LOC,OPEN-GEN,Telangana,Osmania Med Coll Hyderabad,RADIATION ONCOLOGY,10000, 50686,2000000,1,4800
2,25551,Tel Govt-NS UNR,OPEN-FEM,Telangana,Prathima IMS Karimnagar,ANAESTHESIOLOGY,750000,Info not available,2000000,1,1060
2,25595,Tel Govt-NS LOC,BCB-GEN,Telangana,Mamata Med Coll Khammam,OPHTHALMOLOGY,750000,Info not available,2000000,1,1080
2,25602,Tel Govt-NS LOC,MIN-GEN-MSM,Telangana,Shadan IMSRC Peerancheru,OBG,750000,Info not available,2000000,1,800
2,25668,Tel Govt-NS LOC,BCB-FEM,Telangana,Malla Reddy(Women) Hyderabad,GENERAL SURGERY,700000,Info not available,2000000,1,1050
2,25759,Tel Govt-NS UNR,BCD-GEN,Telangana,Mamata Med Coll Khammam,ANAESTHESIOLOGY,750000,Info not available,2000000,1,1080
2,25782,Tel Govt-NS LOC,OPEN-GEN,Telangana,Apollo IMSR Hyderabad,ORTHOPAEDICS,750000,Info not available,2000000,1,570
2,25886,Tel Govt-NS LOC,OPEN-FEM,Telangana,Kakatiya Med Coll Warangal,ORTHOPAEDICS,10000, 50686,2000000,1,1150
2,25930,Tel Govt-NS LOC,SC-GEN,Telangana,Bhaskar Med Coll Yenkapally,GENERAL MEDICINE,750000,Info not available,2000000,1,850
2,26029,Tel Govt-NS LOC,ST-GEN,Telangana,Osmania Med Coll Hyderabad,DERMATOLOGY,10000, 50686,2000000,1,4800
2,26067,Tel Govt-NS LOC,OPEN-GEN,Telangana,Osmania Med Coll Hyderabad,PATHOLOGY,10000, 50686,2000000,1,4800
2,26081,Tel Govt-NS LOC,OPEN-FEM,Telangana,Malla Reddy IMS Hyderabad,ANAESTHESIOLOGY,700000,Info not available,2000000,1,940
2,26271,Tel Govt-NS LOC,OPEN-GEN,Telangana,ESIC Med CollSanath Nagar,PMR, 250000,107800,1000000,2,690
2,26309,Tel Govt-NS LOC,OPEN-GEN,Telangana,Osmania Med Coll Hyderabad,DTBCD,10000, 50686,1000000,1,4800
2,26377,Tel Govt-NS LOC,BCB-FEM,Telangana,MNR Med Coll Sangareddy,GENERAL SURGERY,700000,Info not available,2000000,1,760
2,26385,Tel Govt-NS LOC,OPEN-GEN,Telangana,Mamata Med Coll Khammam,ORTHOPAEDICS,750000,Info not available,2000000,1,1080
2,26533,Tel Govt-NS LOC,OPEN-GEN,Telangana,Malla Reddy IMS Hyderabad,ANAESTHESIOLOGY,700000,Info not available,2000000,1,940
2,26606,Tel Govt-NS LOC,SC-GEN,Telangana,Kakatiya Med Coll Warangal,TBRD,10000, 50686,2000000,1,1150
2,26675,Tel Govt-NS LOC,SC-FEM,Telangana,NIMS Hyderabad,ANAESTHESIOLOGY,72000, 99969,5000000,1,1498
2,26776,Tel Govt-NS LOC,MIN-GEN-MSM,Telangana,Shadan IMSRC Peerancheru,GENERAL SURGERY,750000,Info not available,2000000,1,800
2,26805,Tel Govt-NS LOC,ST-GEN,Telangana,Osmania Med Coll Hyderabad,PAEDIATRICS,10000, 50686,2000000,1,4800
2,26917,Tel Govt-NS LOC,SC-GEN,Telangana,Osmania Med Coll Hyderabad,OPHTHALMOLOGY,10000, 50686,2000000,1,4800
2,26940,Tel Govt-NS LOC,BCE-GEN,Telangana,SVS Med Coll Mehboobnagar,TBRD,750000,Info not available,2000000,1,760
2,27147,Tel Govt-NS UNR,OPEN-FEM,Telangana,Kamineni IMS Narketpally,ENT,750000,Info not available,2000000,1,1060
2,27190,Tel Govt-NS LOC,BCA-GEN,Telangana,Dr Patnam MRInstofMSChevella,OBG,-,-,-,-,-
2,27243,Tel Govt-NS LOC,SC-GEN,Telangana,RVM IMSRC Siddipet,DERMATOLOGY,700000,Info not available,2000000,1,1110
2,27371,Tel Govt-NS LOC,BCE-GEN,Telangana,Apollo IMSR Hyderabad,ANAESTHESIOLOGY,750000,Info not available,2000000,1,570
2,27378,Tel Govt-NS LOC,MIN-GEN-MSM,Telangana,DCMS Hyderabad,ENT,775000,Info not available,2000000,1,1400
